epoch,CBAM_UNET_loss,CBAM_UNET_iou,UNet_ResNet34_loss,UNet_ResNet34_iou,UNet++_ResNet34_loss,UNet++_ResNet34_iou,AttnUNet_ResNet34_loss,AttnUNet_ResNet34_iou,TransUNet_MiT_loss,TransUNet_MiT_iou
10,0.11940649125887,0.7694888114929199,0.04632479263388592,0.8814118504524231,0.039915636311406676,0.8801321983337402,0.04441792394803918,0.880282461643219,0.05284182247908219,0.8853915333747864
11,0.11071236289065817,0.7686601281166077,0.042102416701938795,0.8827815055847168,0.0366083316181017,0.8838814496994019,0.03984796897224758,0.8783137202262878,0.0497141983198083,0.8871890306472778
12,0.10644164811009946,0.7599449753761292,0.040530564992324165,0.8524806499481201,0.03362931064937426,0.8828690052032471,0.03716997374658999,0.8833698034286499,0.04803816546564517,0.8840381503105164
13,0.10075773363528044,0.7776191830635071,0.0517687781997349,0.8700348734855652,0.03147723208303037,0.8814647197723389,0.0339677561884341,0.8762630820274353,0.046410852411518926,0.8881911635398865
14,0.09397858588591866,0.7803807258605957,0.04600458248801853,0.8624618053436279,0.0295325958210489,0.8837713599205017,0.03184649011363154,0.8827857971191406,0.04510842872702557,0.8854527473449707
15,0.09244071037872978,0.7767866849899292,0.04023747703303462,0.8715455532073975,0.027781589134879735,0.882815957069397,0.030188094014706818,0.8819324374198914,0.04380817413330078,0.8871986269950867
16,0.08811738802039105,0.7901102304458618,0.03535891978637032,0.8784136176109314,0.026440982196642007,0.8823457956314087,0.029290037569792374,0.8845887780189514,0.04267490532087243,0.8878832459449768
17,0.08115072716837345,0.8011877536773682,0.03308367314546005,0.8779026865959167,0.025420175427975863,0.882524847984314,0.027486698005510412,0.8843039274215698,0.04349372283272121,0.8800389170646667
18,0.07610776320747707,0.795650064945221,0.029647150765294613,0.8782264590263367,0.023585262505904488,0.8835142850875854,0.026248648373976998,0.8834103345870972,0.040917320355125096,0.8881030082702637
19,0.07358646651972896,0.7975597977638245,0.027556331779645837,0.8798528909683228,0.02244489866754283,0.883549153804779,0.024937334786290708,0.8843862414360046,0.03895675099414328,0.8850488066673279
20,0.07079502136810967,0.8046498894691467,0.02582146343977555,0.8783808946609497,0.02141159099081288,0.8830865621566772,0.02414279087730076,0.8844553828239441,0.03777937422627988,0.8877463936805725
21,0.06824979730274366,0.7760916948318481,0.02451750662015832,0.879977822303772,0.020409067299055016,0.883797287940979,0.023194518296614938,0.8825202584266663,0.03661893243375032,0.8873873949050903
22,0.06920406870220018,0.7912525534629822,0.023298915572788403,0.880902111530304,0.01965785130210545,0.8814162015914917,0.022667416800623355,0.8840941786766052,0.03528241230093915,0.8891286253929138
23,0.06681344716445259,0.7982624769210815,0.02244939078455386,0.8812531232833862,0.019474650465923806,0.8825303316116333,0.02211009471312813,0.8837054967880249,0.03467588269192239,0.8864525556564331
24,0.06577537940896076,0.8080809712409973,0.02137361142946326,0.8809670805931091,0.018601640929346498,0.8826279640197754,0.021733697600986646,0.8801446557044983,0.034989974809729534,0.8877925276756287
25,0.062137771171072255,0.8080293536186218,0.021009729219519574,0.8809989094734192,0.01772773369498875,0.8823254108428955,0.02107892606569373,0.8826908469200134,0.03369390705357427,0.8888301253318787
26,0.06095039896343065,0.7899470925331116,0.020272436867589536,0.880523681640625,0.017127433030501654,0.8819247484207153,0.022977064485135285,0.8725389242172241,0.03260688937228659,0.8860068917274475
27,0.061032097235969876,0.8029723763465881,0.019476881234542182,0.880509614944458,0.016758136645607328,0.8824071288108826,0.02585431648337323,0.8799956440925598,0.03230255531228107,0.8866484761238098
28,0.05651850855868796,0.8066543340682983,0.018875914034636124,0.8793632984161377,0.015957801756651506,0.881475567817688,0.022446610098299773,0.8827341198921204,0.031459946736045505,0.8842574954032898
29,0.05687969767529032,0.8096030354499817,0.018355253986690356,0.8805825114250183,0.015818265728328538,0.881554365158081,0.020202639310256294,0.8828474283218384,0.03412502071131831,0.8785265684127808
